,word,freq,cfbetweenness,eigenvalue
373,cura,7,1.246136108038045e-16,0.004630411756139606
843,pandemic,36,3.217283257018069e-18,0.021994455841663128
92,work,27,3.067642175296298e-18,0.021994455841663128
819,patients,6,2.3568470371178876e-18,0.0057880146951745075
74,shipment,5,2.3568470371178876e-18,0.0057880146951745075
1992,menos,7,2.3381419019026664e-18,0.0057880146951745075
1392,ii,6,2.319436766687445e-18,0.0057880146951745075
1011,six,5,2.094975144104789e-18,0.0057880146951745075
338,memes,6,2.094975144104789e-18,0.0057880146951745075
470,am,7,2.0575648736743463e-18,0.0057880146951745075
863,city,10,2.0201546032439036e-18,0.0057880146951745075
1566,sick,9,2.0201546032439036e-18,0.0057880146951745075
204,youre,9,1.907923791952576e-18,0.0057880146951745075
1265,using,6,1.8518083863069117e-18,0.0057880146951745075
763,would,13,1.814398115876469e-18,0.0057880146951745075
1629,why,7,1.7208724398003624e-18,0.0057880146951745075
351,your,35,1.533821087648149e-18,0.021994455841663128
1393,trending,5,1.533821087648149e-18,0.0057880146951745075
529,started,6,1.2719491946350506e-18,0.0057880146951745075
1127,order,7,1.1971286537741651e-18,0.0057880146951745075
474,any,18,1.12230811291328e-18,0.011576029390349015
927,pour,8,1.0848978424828372e-18,0.0057880146951745075
380,democrats,5,1.0474875720523945e-18,0.0057880146951745075
417,fucking,13,1.0474875720523945e-18,0.011576029390349015
359,because,25,8.97846490330624e-19,0.01504883820745372
83,shanghai,5,8.230259494697386e-19,0.0057880146951745075
1299,here,17,8.230259494697386e-19,0.0057880146951745075
88,in,192,7.482054086088533e-19,0.10765707333024584
118,are,109,7.388528410012426e-19,0.043988911683326255
58,around,20,6.733848677479679e-19,0.021994455841663128
864,feel,15,6.172694621023039e-19,0.01504883820745372
963,hell,11,6.079168944946932e-19,0.011576029390349015
1130,social,8,5.985643268870826e-19,0.0057880146951745075
424,—,22,5.985643268870826e-19,0.021994455841663128
577,yall,7,5.237437860261973e-19,0.0057880146951745075
423,resources,11,4.302181099500906e-19,0.011576029390349015
228,number,14,3.6475013669681597e-19,0.01504883820745372
41,may,12,2.992821634435413e-19,0.0057880146951745075
842,groups,5,1.4964108172177064e-19,0.0057880146951745075
956,upsetting,10,1.3093594650654932e-19,0.011576029390349015
1943,were,20,4.676283803805333e-20,0.0057880146951745075
710,will,44,3.741027043044266e-20,0.012733632329383916
69,muertos,11,3.741027043044266e-20,0.012733632329383916
27,the,655,3.741027043044266e-20,0.45609555797975115
1324,even,18,3.741027043044266e-20,0.012733632329383916
231,news,16,2.8057702822832e-20,0.011576029390349015
1076,dia,13,2.8057702822832e-20,0.012733632329383916
222,against,14,2.571956092092933e-20,0.012733632329383916
878,down,17,2.3381419019026665e-20,0.012733632329383916
290,casa,14,1.870513521522133e-20,0.012733632329383916
119,being,17,1.870513521522133e-20,0.012733632329383916
771,well,14,1.870513521522133e-20,0.012733632329383916
1771,são,12,1.2859780460464666e-20,0.008103220573244311
874,media,9,9.352567607610665e-21,0.008103220573244311
152,up,37,9.352567607610665e-21,0.025467264658767832
2346,bajo,1,0.0,0.0011576029390349015
2348,benefit,1,0.0,0.0011576029390349015
2349,hoping,1,0.0,0.0011576029390349015
2350,militaries,1,0.0,0.0011576029390349015
2351,focused,1,0.0,0.0011576029390349015
2352,saving,2,0.0,0.0011576029390349015
2217,influx,1,0.0,0.0011576029390349015
2353,rather,2,0.0,0.0011576029390349015
2326,monteros,1,0.0,0.0011576029390349015
2325,espinosa,1,0.0,0.0011576029390349015
2330,amenaza,1,0.0,0.0011576029390349015
2354,fighting,4,0.0,0.002315205878069803
2355,wars,1,0.0,0.0011576029390349015
2356,another,7,0.0,0.0011576029390349015
2357,less,3,0.0,0.002315205878069803
2358,emissions,1,0.0,0.0011576029390349015
2324,wkaq,1,0.0,0.0011576029390349015
2359,cleaner,1,0.0,0.0011576029390349015
2360,air,3,0.0,0.0011576029390349015
2361,meet,1,0.0,0.0011576029390349015
2347,contagios,2,0.0,0.002315205878069803
2345,indice,1,0.0,0.0011576029390349015
2331,quiero,1,0.0,0.0011576029390349015
2338,retweet,1,0.0,0.0011576029390349015
2214,contestele,1,0.0,0.0011576029390349015
2332,entremos,1,0.0,0.0011576029390349015
2333,gusta,1,0.0,0.0011576029390349015
2329,quedarse,1,0.0,0.0011576029390349015
2334,encerrada,1,0.0,0.0011576029390349015
2335,art,1,0.0,0.0011576029390349015
2336,personally,2,0.0,0.002315205878069803
2337,note,2,0.0,0.0011576029390349015
2328,pedido,1,0.0,0.0011576029390349015
2344,bolivia,1,0.0,0.0011576029390349015
2339,largest,2,0.0,0.002315205878069803
2340,sample,1,0.0,0.0011576029390349015
2341,behonest,1,0.0,0.0011576029390349015
2342,region,2,0.0,0.002315205878069803
2362,yearold,2,0.0,0.002315205878069803
2343,uruguay,1,0.0,0.0011576029390349015
2327,suma,1,0.0,0.0011576029390349015
2411,bc,4,0.0,0.0011576029390349015
2402,retraso,1,0.0,0.0011576029390349015
2365,tracking,1,0.0,0.0011576029390349015
2363,behind,2,0.0,0.002315205878069803
2392,trasladado,1,0.0,0.0011576029390349015
2385,theyll,2,0.0,0.0011576029390349015
2386,looted,1,0.0,0.0011576029390349015
2406,mom,1,0.0,0.0011576029390349015
2388,cr,1,0.0,0.0011576029390349015
2389,mantenido,1,0.0,0.0011576029390349015
2215,expecting,1,0.0,0.0011576029390349015
2390,videoconferencia,1,0.0,0.0011576029390349015
2391,sanchez,1,0.0,0.0011576029390349015
2405,minuto,1,0.0,0.0011576029390349015
2393,apoyo,1,0.0,0.0011576029390349015
2364,website,3,0.0,0.0011576029390349015
2394,pp,2,0.0,0.0011576029390349015
2395,tomar,2,0.0,0.0011576029390349015
2396,necesarias,1,0.0,0.0011576029390349015
2404,aprobacion,1,0.0,0.0011576029390349015
2397,combatir,1,0.0,0.0011576029390349015
2398,socios,1,0.0,0.0011576029390349015
2399,investidura,1,0.0,0.0011576029390349015
2400,motivan,1,0.0,0.0011576029390349015
2403,condicionamiento,1,0.0,0.0011576029390349015
2407,sold,1,0.0,0.0011576029390349015
2384,afraid,3,0.0,0.0011576029390349015
2408,lil,1,0.0,0.0011576029390349015
2383,guns,1,0.0,0.0011576029390349015
2401,algun,2,0.0,0.002315205878069803
2366,resource,1,0.0,0.0011576029390349015
2367,avi,1,0.0,0.0011576029390349015
2368,schiffmann,1,0.0,0.0011576029390349015
2369,high,6,0.0,0.0011576029390349015
2410,dog,3,0.0,0.002315205878069803
2370,junior,1,0.0,0.0011576029390349015
2409,sister,2,0.0,0.002315205878069803
2371,mercer,1,0.0,0.0011576029390349015
2372,island,3,0.0,0.0011576029390349015
2374,december,4,0.0,0.0011576029390349015
2376,anytime,1,0.0,0.0011576029390349015
2216,possible,2,0.0,0.0011576029390349015
2377,soon,3,0.0,0.0011576029390349015
2378,gop,1,0.0,0.0011576029390349015
2379,opposes,1,0.0,0.0011576029390349015
2380,saw,2,0.0,0.002315205878069803
2381,depends,2,0.0,0.0011576029390349015
2382,lining,1,0.0,0.0011576029390349015
2218,preparing,2,0.0,0.0011576029390349015
2316,paper,5,0.0,0.0011576029390349015
2323,told,10,0.0,0.004630411756139606
2266,ingreso,1,0.0,0.0011576029390349015
2256,through,7,0.0,0.002315205878069803
2257,hot,3,0.0,0.0011576029390349015
2258,staystrong,1,0.0,0.0011576029390349015
2259,medida,2,0.0,0.0011576029390349015
2260,cierre,2,0.0,0.0011576029390349015
2261,decretada,2,0.0,0.0011576029390349015
2262,regira,1,0.0,0.0011576029390349015
2263,permitira,1,0.0,0.0011576029390349015
2264,transporte,1,0.0,0.0011576029390349015
2265,carga,1,0.0,0.0011576029390349015
