,word,freq,cfbetweenness,eigenvalue
13,covid,238,0.15856780445391436,0.12166524053061267
187,virus,55,0.03788708806026429,0.042955341490940276
108,mas,46,0.03139817402749164,0.00361309097247591
22,the,655,0.02959252225998673,0.5409171408372201
15,do,54,0.02813358950179829,0.029279897518157995
5,to,390,0.026677882623672294,0.38723851858347214
26,si,33,0.025983703325180234,0.0026283785122661898
35,and,291,0.024407749652212887,0.2694674716592382
126,of,261,0.02252317985290124,0.27561338684190917
151,for,169,0.02251581612022141,0.14794373005976252
12,on,90,0.0220785565732376,0.08460035911527808
21,in,192,0.021683235468891254,0.17343510410608393
1217,crisis,35,0.020740516723068387,0.027150425116057683
300,china,33,0.019534102735831144,0.031023939467666985
18,is,217,0.019040032722444717,0.23010911152903116
543,pais,24,0.016832785001802218,0.0019380371038233931
296,that,118,0.016029094630210523,0.12421352441266326
57,as,63,0.01584751948979648,0.06540310671064772
31,this,171,0.015580077079547876,0.14738059794688682
166,are,109,0.015044537604412685,0.1043782893762432
133,from,95,0.01482035014592701,0.08519453821432332
352,casos,35,0.014383014306862792,0.0028515581957537085
306,trump,44,0.014381402550993174,0.04770022382715631
37,so,48,0.01423456918901589,0.043568702590590674
649,—,22,0.013275705382923064,0.02825333940836846
285,pm,16,0.013046322900938562,0.009175561166352453
250,gobierno,14,0.012462734471706942,0.0013143380450130967
159,at,63,0.012297714436000766,0.06376743184003784
309,na,12,0.011915403173406324,0.0021026659610620547
135,all,62,0.011373777401636262,0.06445412086742038
255,ser,14,0.011218156875291657,0.0010668715037979286
38,it,112,0.011189492821073743,0.11220632166605234
1406,social,8,0.011102166487188946,0.004020833139030799
4,not,71,0.011061261892258442,0.07566531820972838
213,with,60,0.01083985692153359,0.05688366423244382
2856,โควิด,4,0.01045112406238278,5.116701039665479e-05
891,caso,12,0.010407622271679294,0.0012589805112359813
119,hoy,19,0.010376193615507633,0.0017524799726860484
1053,asi,11,0.010297363664942237,0.0008784537026681357
262,we,99,0.010130377136438997,0.08412810006385998
1431,في,3,0.010127932838892987,4.770329371495877e-05
637,new,28,0.00998904673794029,0.0213915577690732
852,via,20,0.009987878140512869,0.00916311538421978
253,venezuela,20,0.009958508497721346,0.0017683007936617132
191,medidas,14,0.009896795504246582,0.0015766845080889952
2048,personas,13,0.009710079439296823,0.0010764127155393655
248,hospital,16,0.009482653051812295,0.00753056355648182
971,will,44,0.009404848247538128,0.04134662025484387
226,be,58,0.009400629826141527,0.06381834636202996
791,total,22,0.009302918175919966,0.01253278367425765
242,chinese,25,0.009164802975320881,0.026428080215015137
182,dr,15,0.008964699595035444,0.009368683445643204
366,casa,14,0.008915893524194647,0.0011144800952490063
239,about,65,0.008786613498145933,0.05253337383186135
1353,untuk,7,0.008752593212029399,0.0012267748954583495
485,breaking,18,0.00868220375016446,0.008833462426674087
258,estan,12,0.008586512005594906,0.000965473229601877
130,us,51,0.008575965685166389,0.04781929927333248
757,cases,22,0.008527392935569736,0.01765392027549138
2831,bien,7,0.0085001810608129,0.0005640406613560634
388,people,57,0.0084551768461125,0.06239487747436312
64,what,34,0.008435391280391842,0.03020987266506959
820,da,11,0.008328012129451992,0.0008270099672376761
28,if,50,0.008222234661408949,0.041312821035892594
1355,yang,15,0.008220695545835153,0.0009098021458530048
14,by,31,0.008066042461192476,0.0349291935603625
707,mes,5,0.008031057659874354,0.0003866864816891816
323,brasil,8,0.007991727622156438,0.0007709682776900244
837,pandemia,13,0.007900612594668835,0.000897951881434063
60,its,38,0.007896294403269702,0.0361583399816835
350,solo,10,0.007891868999256306,0.0007591343760716619
42,you,86,0.00786069758090202,0.06768426745171098
902,presidente,15,0.007841844588116738,0.0012452808684739374
937,em,15,0.0076792347033770155,0.0013724477272761327
101,out,70,0.007609009602311271,0.062457324493280446
105,was,52,0.007447751173552105,0.059530309210694576
77,they,58,0.007444066167497155,0.06022130077316026
217,just,35,0.007390632811095662,0.02295037454534253
460,an,28,0.007305514695179211,0.032498791541792145
3335,menos,7,0.007271075447337569,0.0006706834448434422
2139,pueblo,6,0.007260093074231049,0.0003873913456052867
1787,não,9,0.007256686740262107,0.0005642498630414188
1189,their,33,0.007250795501103033,0.03309920883596607
67,now,48,0.007171582082289714,0.03423452460692497
520,your,35,0.007163735319228062,0.02626532517125777
2086,une,5,0.007159397285464211,0.00028096512555408665
405,cuarentena,14,0.00715299974145264,0.0016192017159730278
1254,ahora,7,0.007152916293772448,0.0007090986033178892
1783,são,12,0.0071299642802990955,0.0027422451575468874
555,pour,8,0.007124490469977394,0.0005462430857825317
267,have,37,0.007104331552284276,0.03274277187766168
1294,di,11,0.007052830584624013,0.0004945435782652839
699,à,13,0.006972952517426941,0.0007778103406708869
496,pandemic,36,0.006882854830478384,0.0395796080813958
395,who,40,0.006805003115531481,0.038276506203498706
316,ou,6,0.006796202563961448,0.0005855205673574062
373,ma,6,0.006736545958907452,0.0025312057560607478
938,um,14,0.0067116368277994045,0.0007213820314330605
656,real,18,0.006659804820951979,0.019796075307128777
940,video,9,0.006659207711084572,0.0029361413639570153
3754,tema,6,0.0066584336303919375,0.0004703432416926127
7,during,31,0.006629931782028447,0.029665159536446436
83,but,44,0.006603319690026961,0.04427658873340018
539,colombia,8,0.006602246432432531,0.0008345850241002234
2596,ok,7,0.00657714311804317,0.004127413686077372
3,how,69,0.006516448690880048,0.06353300216389239
219,up,37,0.006495107445602221,0.029212839964084542
560,je,4,0.006461760431188272,0.0010561599342101915
1011,get,26,0.006425615422270115,0.02140158577197345
1170,dan,12,0.006425568858167284,0.0008539381356452478
967,can,43,0.006409905268034518,0.031260718817718934
137,our,37,0.006382155980603717,0.04695117344870877
1018,home,34,0.006192141021032655,0.03414909600924588
1860,puede,10,0.006166878006912087,0.0008135341701014443
1439,gente,8,0.006040591485042957,0.0007503320198150623
583,health,33,0.006038805012179755,0.029373270195121984
507,president,26,0.006031343311098745,0.033067139535229176
617,when,29,0.006001610914104299,0.02639986295313165
2828,italia,6,0.005927523373142802,0.0005455892872082339
2237,ja,5,0.0059220108686212905,0.0004204390479443485
2162,live,10,0.005879732472070788,0.007111562513760547
515,more,26,0.005877193520348836,0.020059520628986728
1216,grave,6,0.005801702026374355,0.00036993055826827864
1812,thread,4,0.005784003211445572,0.002232374638317461
288,his,22,0.0057777921528317415,0.02054022913330467
2751,aqui,10,0.00577692726497513,0.000575354333781707
1803,confirmados,10,0.005740585610793951,0.0007975704017343869
2365,paises,7,0.0057215950088302,0.0004014555979678044
402,españa,8,0.005688649424824465,0.0005721941889700096
114,mais,6,0.0056868913054820384,0.0004951526305229931
457,were,20,0.0056055168407150874,0.020831041356209282
66,like,30,0.005600817619377974,0.025400566522561608
1316,general,7,0.005600521049424369,0.005148916115492909
90,my,62,0.005597652768019531,0.04893443298030444
301,been,23,0.005562995633004853,0.020236240529652963
2803,eu,8,0.0055386411501303695,0.0014291694641743282
307,ao,6,0.005536552622863426,0.0005258032677005508
1379,media,9,0.00549140477356719,0.011324085127541857
686,argentina,11,0.005447207903889623,0.0008598785862477695
2173,sure,7,0.005416549449333012,0.008319883698582227
1028,bars,5,0.005370858059335014,0.003785742209066704
2735,ver,6,0.005350846474890749,0.0005004401392183477
832,favor,6,0.005328666326146158,0.0018200486332428023
516,than,22,0.005316601874630399,0.01429308440036477
104,staff,20,0.0052638696356913425,0.022826894142961025
1847,dia,13,0.005220138341202956,0.0011015576591604421
1110,atencion,6,0.005194427741777095,0.0006189604968124541
2671,avianca,6,0.005124551785198476,0.0003621051184542117
174,vacacionesuna,6,0.005065350272904009,0.0004565908658339177
2930,ne,4,0.005030547009651001,0.0003840491960835593
269,youre,9,0.005025538792835514,0.008248665038259691
3210,force,8,0.005023941830737261,0.005268411981523803
128,test,24,0.005013000378728028,0.01950825323841146
356,sintomas,8,0.004970086226446676,0.0007833158533003959
102,other,27,0.004948284495990736,0.027277719424089818
524,spread,20,0.0049244631570011495,0.027288335315138232
473,riesgo,5,0.004893220126672697,0.00020683079438212266
1512,et,5,0.0048905942269284,0.00019499120394173589
1007,dos,9,0.004862237537690028,0.0006811792099310937
124,first,26,0.004847636274763967,0.025741338733499933
582,public,17,0.004834638525468179,0.016711220669382652
2311,control,4,0.004820920113531838,0.0024184424615560376
1344,them,13,0.004809844129039472,0.011795173102095276
1008,despues,8,0.004795837460456598,0.0006893260024200294
172,vamos,5,0.004735449177521412,0.0005201140187095691
905,pra,5,0.004733871905303802,0.00041778823528515013
1410,only,15,0.004729705760233107,0.0136441501612466
719,said,19,0.004694237011128936,0.0164711254803934
1382,take,17,0.004687541065452627,0.017403645432548794
527,because,25,0.004684488590381506,0.02017859632478564
1807,informacion,6,0.004641771994064512,0.0005687502852107279
1346,york,5,0.004637542095522958,0.004642932863799243
1695,dari,5,0.004602095808448746,0.00026761770338422933
664,face,10,0.00458990347799212,0.010210571716120744
544,llega,5,0.0045886978259791055,0.0004917002377614349
1026,vulnerable,8,0.0045770329608679425,0.010047924642114686
692,agua,8,0.0045752991179122725,0.000115548477750397
1356,tidak,6,0.004550419864022739,0.0003418393113552223
2070,san,6,0.004549773416155214,0.0017384860362779824
52,risa,5,0.004531805679942252,0.001087903291980099
293,news,16,0.004510633010353723,0.010389332846362492
1688,tetap,5,0.004496586869107977,0.0002730045464225215
455,time,28,0.004485340508589206,0.02829191584390235
221,please,17,0.004482062869692792,0.016272154495432182
1732,respuesta,3,0.0044755335217788765,5.030438668704019e-05
2148,importante,5,0.004454849472592928,0.0004555834324481345
1544,criminal,4,0.004446116429613421,0.0034938709257691008
61,over,28,0.0044260722104618655,0.02126022319391527
256,responsabilidad,5,0.004402081136120496,0.0005166396269947726
