,word,freq,cfbetweenness,eigenvalue
8,covid,238,0.19149398513358928,0.23887893787153042
145,virus,55,0.0478490575144121,0.10996978929745563
78,mas,46,0.03327460926228206,0.07018268699313406
15,si,33,0.027630691545493462,0.04941316106358425
1128,crisis,35,0.02421204442560203,0.05332429712513425
243,china,33,0.023877254129145254,0.07834000511060814
248,trump,44,0.022691133499775067,0.09999395339007718
327,people,57,0.01789234682111849,0.1276013761342926
468,pais,24,0.01774067390222688,0.041415206141287235
99,us,51,0.017707811569742417,0.09417199760698673
560,new,28,0.017149380173875458,0.058138275188500496
231,pm,16,0.016510950050847642,0.022757279292025066
292,casos,35,0.015030306624146797,0.05776154283358845
570,—,22,0.014613230259831357,0.14693764724022843
192,chinese,25,0.013883318550517923,0.06705867902812507
251,na,12,0.013748689966751373,0.020156530759126687
426,pandemic,36,0.013655906026498745,0.06775272910698675
768,via,20,0.01364374994925188,0.03944063113910164
200,gobierno,14,0.013209796136030537,0.023166129202080967
677,cases,22,0.012591088474786735,0.0509278914633369
1313,social,8,0.012141987418417948,0.014241562102100348
925,get,26,0.012082813446765647,0.057271046405223985
44,like,30,0.012062189849180264,0.06913195425547937
932,home,34,0.011818442940714045,0.07734952882165445
205,ser,14,0.011755665694600586,0.01765087821370395
198,hospital,16,0.011741648106785876,0.02701857115548702
437,president,26,0.011734211281334362,0.055601208220044274
417,breaking,18,0.01143113349988628,0.03499832561840326
508,health,33,0.011198247970165125,0.06467929235948221
708,total,22,0.01091757062333487,0.033942551722932125
89,hoy,19,0.010871710946533282,0.03400476850181126
2751,โควิด,4,0.010776147814519913,0.0008504892315796541
967,asi,11,0.010725089623627011,0.01700531629388284
807,caso,12,0.0106855832123606,0.023181064454257685
203,venezuela,20,0.010409413700957161,0.03533119882537036
1337,في,3,0.01036032324719969,0.0007664101604812863
1947,personas,13,0.010231319566370467,0.021731913337145383
149,medidas,14,0.010217899023044118,0.02501781529081605
640,said,19,0.009967913652529633,0.03428235168849804
140,dr,15,0.009884360037331822,0.027991637209170785
390,time,28,0.009638788778684421,0.1127654828339226
2726,bien,7,0.009599700848954777,0.011793594264466627
306,casa,14,0.009324344513191682,0.021696454935480274
451,spread,20,0.009316064301875043,0.05928945352836561
1260,untuk,7,0.009285085803936038,0.007631802979441228
1289,take,17,0.00925720538868536,0.026343170682637706
736,da,11,0.00914931770031927,0.01486300723037569
604,must,20,0.009088450466578215,0.03469083812524144
628,mes,5,0.00902888655155188,0.007581394627787913
265,brasil,8,0.0090212962567613,0.014355120665844523
175,please,17,0.009017944550361673,0.03362287281041827
507,public,17,0.008910116537937211,0.04039556027594318
1262,yang,15,0.008895752084784266,0.01667897818898142
19,right,18,0.008724666427289791,0.08780742461159595
94,first,26,0.008724220766574442,0.059763119476840126
208,estan,12,0.008638354217553906,0.01930022756467979
17,im,18,0.008623028705942224,0.030002902695312802
106,work,27,0.008574492045478117,0.12709700487650075
577,real,18,0.008554148583843032,0.09307247910754637
237,news,16,0.008535058275165883,0.030867675259207056
657,one,18,0.008447745467629114,0.029227536743645997
1688,não,9,0.008421643008717838,0.010245521051347102
290,solo,10,0.0084061516823861,0.015203429651289927
818,presidente,15,0.008379595919042295,0.022750674624498084
549,go,40,0.00824947402731838,0.10339463785147457
753,pandemia,13,0.008245207604005409,0.01769077570228088
230,outbreak,15,0.008116514874882783,0.036284130851205756
853,em,15,0.008076420100851028,0.015834601507506377
1684,são,12,0.007991454271368206,0.021997876938149485
1204,di,11,0.0079726948705198,0.0104238845066826
480,pour,8,0.007969509626098336,0.009764210845468127
1985,une,5,0.007964046585562016,0.004886204038378288
452,world,14,0.007932151394417844,0.037889045534152586
2061,live,10,0.007922820543032541,0.018885261554442406
258,ou,6,0.007910922857994784,0.010332533857845601
182,got,17,0.007893123512004076,0.03615526069852151
3227,menos,7,0.007858881227578102,0.012040197536022146
58,may,12,0.00783086441716808,0.023732196195362015
2038,pueblo,6,0.007751987434584583,0.007666410657416101
485,je,4,0.007715441817984972,0.004078704147523608
1165,ahora,7,0.007669054161604499,0.013947543706659191
1286,media,9,0.007636580884142529,0.020561999391578684
75,staff,20,0.007631081772354368,0.04966757035449617
620,à,13,0.007627496116898447,0.013395371445636758
1443,many,12,0.007569875433163972,0.024940264457157878
97,test,24,0.0075240975451633715,0.04281583841194563
216,youre,9,0.007514829863576843,0.02063125453818442
342,cuarentena,14,0.007503072253152678,0.03086476695288576
2595,today,15,0.007438174026168097,0.030283575329049423
2493,ok,7,0.007435876075343619,0.009899569602953453
176,know,28,0.007388328815283424,0.09929056465323119
185,dont,56,0.007365113180846381,0.22352027664690485
854,um,14,0.007296416932473578,0.014874595081780535
1082,dan,12,0.007109446250145675,0.016723490734827165
464,colombia,8,0.007105985370280087,0.016018211021983683
557,still,13,0.0070884287709038355,0.024266325463071243
3642,tema,6,0.00694723090914771,0.009131681317191035
1374,even,18,0.0068725533346320825,0.04236692046250184
1512,stay,19,0.0068698624693791475,0.04609054657841235
1226,general,7,0.006864023644064426,0.009421772014203321
