Country;ISO 3;INFORM COVID-19 RISK;COVID-19 RISK CLASS;COVID-19 HAZARD & EXPOSURE;COVID-19 HAZARD & EXPOSURE CLASS;COVID-19 VULNERABILITY;VULNERABILITY;VULNERABILITY CLASS;COVID-19 LACK OF COPING CAPACITY;LACK OF COPING CAPACITY;LACK OF COPING CAPACITY CLASS;INFORM RISK;RISK CLASS;INFORM SEVERITY INDEX;INFORM SEVERITY INDEX CLASS;INFORM SEVERITY INDEX CLASS;INFORM COVID Risk + INFORM Risk;INFORM COVID - INFORM RISK 
Afghanistan;AFG;6,8;Very High;6,4;Very High;3,5;6,4;Very High;7,0;7,7;Very High;8,1;Very High;4,5;5;Very High;7,5;-1,3
Albania;ALB;4,2;Medium;3,6;Medium;5,7;4,1;High;5,0;4,9;High;3,0;Low;-;-;-;3,6;1,2
Algeria;DZA;3,9;Medium;4,3;High;4,2;3,6;Medium;2,3;3,9;Medium;4,0;Medium;1,8;2;Low;4,0;-0,1
Angola;AGO;5,6;High;6,5;Very High;3,0;4,3;High;4,6;6,2;High;5,1;High;-;-;-;5,4;0,5
Antigua and Barbuda;ATG;3,6;Medium;2,8;Medium;4,0;3,4;Medium;5,4;4,9;High;2,4;Low;-;-;-;3,0;1,2
Argentina;ARG;3,4;Low;2,8;Medium;4,6;3,2;Medium;4,3;4,2;High;2,5;Low;-;-;-;3,0;0,9
Armenia;ARM;3,6;Medium;2,7;Medium;6,1;4,4;High;3,4;3,8;Medium;3,3;Low;-;-;-;3,5;0,3
Australia;AUS;2,1;Low;2,5;Low;5,1;3,5;Medium;0,5;1,1;Very Low;2,3;Low;-;-;-;2,2;-0,2
Austria;AUT;3,0;Low;2,5;Low;6,8;4,7;High;3,3;2,4;Low;1,6;Very Low;-;-;-;2,3;1,4
Azerbaijan;AZE;3,9;Medium;4,1;High;4,3;3,8;Medium;3,4;3,9;Medium;4,4;Medium;-;-;-;4,2;-0,5
Bahamas;BHS;3,9;Medium;3,4;Medium;4,2;3,9;Medium;5,0;4,4;High;2,7;Low;1,8;2;Low;3,3;1,2
Bahrain;BHR;3,9;Medium;6,4;Very High;4,3;2,9;Medium;1,9;3,1;Medium;1,3;Very Low;-;-;-;2,6;2,6
Bangladesh;BGD;5,2;High;5,7;High;3,9;4,6;High;4,6;5,5;High;6,0;High;3,3;4;High;5,6;-0,8
Barbados;BRB;4,0;Medium;3,0;Medium;6,9;4,8;High;5,0;4,3;High;2,0;Low;-;-;-;3,0;2,0
Belarus;BLR;3,8;Medium;2,9;Medium;6,3;4,2;High;5,0;4,5;High;1,8;Very Low;-;-;-;2,8;2,0
Belgium;BEL;2,8;Low;3,4;Medium;7,0;4,7;High;1,0;1,4;Very Low;1,9;Very Low;-;-;-;2,4;0,9
Belize;BLZ;3,8;Medium;2,6;Low;4,0;3,6;Medium;5,9;5,7;High;3,7;Medium;-;-;-;3,8;0,1
Benin;BEN;5,8;High;7,0;Very High;2,9;4,1;High;7,0;6,7;Very High;4,1;Medium;-;-;-;5,0;1,7
Bhutan;BTN;4,1;Medium;3,9;Medium;2,7;3,9;Medium;4,9;4,6;High;3,2;Low;-;-;-;3,7;0,9
Bolivia;BOL;4,9;Medium;4,6;High;3,8;3,8;Medium;7,5;6,7;Very High;4,2;Medium;-;-;-;4,6;0,7
Bosnia and Herzegovina;BIH;4,1;Medium;2,1;Low;7,2;5,4;High;7,1;6,2;High;3,7;Medium;-;-;-;3,9;0,4
Botswana;BWA;4,7;Medium;3,9;Medium;4,3;4,3;High;7,4;6,2;High;3,0;Low;-;-;-;3,9;1,7
Brazil;BRA;3,5;Medium;3,0;Medium;4,4;3,7;Medium;1,9;3,7;Medium;4,7;Medium;1,8;2;Low;4,1;-1,2
Brunei Darussalam;BRN;3,1;Low;3,9;Medium;4,0;2,7;Medium;2,5;2,8;Medium;1,6;Very Low;-;-;-;2,4;1,5
Bulgaria;BGR;3,7;Medium;2,7;Medium;7,8;5,6;High;3,1;3,3;Medium;2,4;Low;-;-;-;3,1;1,3
Burkina Faso;BFA;6,3;High;7,7;Very High;2,5;4,7;High;7,3;6,9;Very High;6,4;High;3,0;3;Medium;6,4;-0,1
Burundi;BDI;6,5;Very High;6,8;Very High;2,8;5,4;High;7,6;7,6;Very High;6,1;High;2,8;3;Medium;6,3;0,4
Cabo Verde;CPV;4,5;Medium;4,7;High;3,3;3,4;Medium;6,5;5,6;High;2,5;Low;-;-;-;3,5;2,0
Cambodia;KHM;4,9;Medium;4,9;High;3,6;4,1;High;5,2;5,9;High;4,8;Medium;-;-;-;4,9;0,1
Cameroon;CMR;5,7;High;6,4;Very High;2,4;4,6;High;5,6;6,4;Very High;6,6;Very High;3,3;4;High;6,2;-0,9
Canada;CAN;2,0;Low;2,0;Low;5,7;3,9;Medium;0,1;1,1;Very Low;2,4;Low;-;-;-;2,2;-0,4
Central African Republic;CAF;7,6;Very High;6,5;Very High;2,8;7,3;Very High;9,4;9,1;Very High;7,9;Very High;3,7;4;High;7,8;-0,3
Chad;TCD;7,2;Very High;7,7;Very High;2,8;5,9;High;7,3;8,3;Very High;7,5;Very High;3,9;4;High;7,4;-0,3
Chile;CHL;3,0;Low;2,9;Medium;4,7;3,3;Medium;2,6;2,8;Medium;2,9;Low;-;-;-;3,0;0,1
China;CHN;3,4;Low;4,0;Medium;5,2;4,1;High;0,3;2,5;Low;4,2;Medium;-;-;-;3,8;-0,8
Colombia;COL;4,3;Medium;3,8;Medium;4,2;4,5;High;4,2;4,6;High;5,4;High;3,5;4;High;4,9;-1,1
Comoros;COM;6,0;High;6,6;Very High;2,7;3,9;Medium;9,1;8,2;Very High;3,9;Medium;-;-;-;5,0;2,1
Congo;COG;5,7;High;5,9;High;2,6;4,8;High;5,2;6,4;Very High;5,1;High;2,0;2;Low;5,4;0,6
Congo DR;COD;6,8;Very High;7,9;Very High;2,6;5,7;High;5,8;6,9;Very High;7,6;Very High;4,2;5;Very High;7,2;-0,8
Costa Rica;CRI;3,4;Low;3,2;Medium;4,5;3,5;Medium;2,8;3,4;Medium;3,0;Low;1,0;1;Very Low;3,2;0,4
Cte d'Ivoire;CIV;5,6;High;6,6;Very High;2,7;4,4;High;5,3;6,0;High;5,9;High;-;-;-;5,8;-0,3
Croatia;HRV;3,5;Medium;2,4;Low;8,1;5,6;High;2,6;3,1;Medium;2,2;Low;-;-;-;2,9;1,3
Cuba;CUB;3,4;Low;2,9;Medium;6,4;4,4;High;2,5;3,0;Medium;3,2;Low;-;-;-;3,3;0,2
Cyprus;CYP;3,3;Low;2,9;Medium;5,6;4,4;High;2,6;2,8;Medium;3,0;Low;-;-;-;3,2;0,3
Czech Republic;CZE;3,4;Low;2,8;Medium;7,8;5,3;High;2,9;2,7;Medium;1,2;Very Low;-;-;-;2,3;2,2
Denmark;DNK;2,1;Low;2,9;Medium;7,1;4,8;High;0,2;0,7;Very Low;1,1;Very Low;-;-;-;1,6;1,0
